query,context,relevance
Find a Fantasy writing prompt,<Slice of Life> </Slice of Life> <Dreams & Aspirations> </Dreams & Aspirations> <The Open Mic Night> </The Open Mic Night> prompt A shy person finally gathers the courage to perform their secret talent at a local open mic night.,0.0
Find a writing prompt about vivid,"<Magical Realism> </Magical Realism> <Nature> </Nature> <The Tree That Grows Memories> </The Tree That Grows Memories> prompt In a quiet town, there's a tree whose leaves display vivid memories of anyone who touches its bark.",1.0
Find a Fantasy writing prompt,"<Magical Realism> </Magical Realism> <Nature> </Nature> <The Tree That Grows Memories> </The Tree That Grows Memories> prompt In a quiet town, there's a tree whose leaves display vivid memories of anyone who touches its bark.",0.0
Find a Science Fiction writing prompt,<Science Fiction> </Science Fiction> <Cyberpunk> </Cyberpunk> <The Glitch in the System> </The Glitch in the System> prompt A low-level data clerk in a hyper-corporate future discovers a recurring glitch in the city's AI that reveals a hidden truth about its control.,1.0
Find a Science Fiction prompt about cyberpunk,<Science Fiction> </Science Fiction> <Cyberpunk> </Cyberpunk> <The Glitch in the System> </The Glitch in the System> prompt A low-level data clerk in a hyper-corporate future discovers a recurring glitch in the city's AI that reveals a hidden truth about its control.,1.0
Find a writing prompt about discovers,<Science Fiction> </Science Fiction> <Cyberpunk> </Cyberpunk> <The Glitch in the System> </The Glitch in the System> prompt A low-level data clerk in a hyper-corporate future discovers a recurring glitch in the city's AI that reveals a hidden truth about its control.,1.0
Find a Fantasy writing prompt,<Science Fiction> </Science Fiction> <Cyberpunk> </Cyberpunk> <The Glitch in the System> </The Glitch in the System> prompt A low-level data clerk in a hyper-corporate future discovers a recurring glitch in the city's AI that reveals a hidden truth about its control.,0.0
Find a Mystery writing prompt,"<Mystery> </Mystery> <Thriller> </Thriller> <The Last Passenger> </The Last Passenger> prompt On the last train of the night, a passenger realizes they are the only one left, along with someone who is definitely not the conductor.",1.0
Find a Mystery prompt about thriller,"<Mystery> </Mystery> <Thriller> </Thriller> <The Last Passenger> </The Last Passenger> prompt On the last train of the night, a passenger realizes they are the only one left, along with someone who is definitely not the conductor.",1.0
Find a writing prompt about definitely and realizes and passenger,"<Mystery> </Mystery> <Thriller> </Thriller> <The Last Passenger> </The Last Passenger> prompt On the last train of the night, a passenger realizes they are the only one left, along with someone who is definitely not the conductor.",1.0
Find a Fantasy writing prompt,"<Mystery> </Mystery> <Thriller> </Thriller> <The Last Passenger> </The Last Passenger> prompt On the last train of the night, a passenger realizes they are the only one left, along with someone who is definitely not the conductor.",0.0
Find a Horror writing prompt,"<Horror> </Horror> <Psychological> </Psychological> <The Song That Won't Stop> </The Song That Won't Stop> prompt A catchy tune gets stuck in someone's head, but it gradually becomes more sinister and seems to influence their thoughts and actions.",1.0
Find a Horror prompt about psychological,"<Horror> </Horror> <Psychological> </Psychological> <The Song That Won't Stop> </The Song That Won't Stop> prompt A catchy tune gets stuck in someone's head, but it gradually becomes more sinister and seems to influence their thoughts and actions.",1.0
Find a writing prompt about stuck,"<Horror> </Horror> <Psychological> </Psychological> <The Song That Won't Stop> </The Song That Won't Stop> prompt A catchy tune gets stuck in someone's head, but it gradually becomes more sinister and seems to influence their thoughts and actions.",1.0
Find a Fantasy writing prompt,"<Horror> </Horror> <Psychological> </Psychological> <The Song That Won't Stop> </The Song That Won't Stop> prompt A catchy tune gets stuck in someone's head, but it gradually becomes more sinister and seems to influence their thoughts and actions.",0.0
Find a Romance writing prompt,"<Romance> </Romance> <Contemporary> </Contemporary> <The Fake Dating Scheme> </The Fake Dating Scheme> prompt Two friends agree to pretend to date to achieve separate goals (e.g., make an ex jealous, appease family), but real feelings start to develop.",1.0
Find a Romance prompt about contemporary,"<Romance> </Romance> <Contemporary> </Contemporary> <The Fake Dating Scheme> </The Fake Dating Scheme> prompt Two friends agree to pretend to date to achieve separate goals (e.g., make an ex jealous, appease family), but real feelings start to develop.",1.0
Find a writing prompt about appease,"<Romance> </Romance> <Contemporary> </Contemporary> <The Fake Dating Scheme> </The Fake Dating Scheme> prompt Two friends agree to pretend to date to achieve separate goals (e.g., make an ex jealous, appease family), but real feelings start to develop.",1.0
Find a Fantasy writing prompt,"<Romance> </Romance> <Contemporary> </Contemporary> <The Fake Dating Scheme> </The Fake Dating Scheme> prompt Two friends agree to pretend to date to achieve separate goals (e.g., make an ex jealous, appease family), but real feelings start to develop.",0.0
Find a writing prompt about after and medusa,"<Myth Retelling> </Myth Retelling> <Identity> </Identity> <Medusa's Side of the Story> </Medusa's Side of the Story> prompt Medusa tells her own story, not as a monster, but as a victim transformed, and what happened after Perseus.",1.0
Find a Fantasy writing prompt,"<Myth Retelling> </Myth Retelling> <Identity> </Identity> <Medusa's Side of the Story> </Medusa's Side of the Story> prompt Medusa tells her own story, not as a monster, but as a victim transformed, and what happened after Perseus.",0.0
Find a writing prompt about trinket and unusual,"<Contemporary> </Contemporary> <Family & Belonging> </Family & Belonging> <The Foundling's Quest> </The Foundling's Quest> prompt An adult who was a foundling as a baby decides to search for their birth family, with only a small, unusual trinket as a clue.",1.0
Find a Fantasy writing prompt,"<Contemporary> </Contemporary> <Family & Belonging> </Family & Belonging> <The Foundling's Quest> </The Foundling's Quest> prompt An adult who was a foundling as a baby decides to search for their birth family, with only a small, unusual trinket as a clue.",0.0
Find a writing prompt about dishes,"<Humor> </Humor> <Supernatural> </Supernatural> <My Roommate is a Vampire (and a slob) </My Roommate is a Vampire (and a slob)> prompt You discover your new roommate is a vampire, not because of fangs or coffins, but because they never do their share of the dishes and are incredibly messy.",1.0
Find a Fantasy writing prompt,"<Humor> </Humor> <Supernatural> </Supernatural> <My Roommate is a Vampire (and a slob) </My Roommate is a Vampire (and a slob)> prompt You discover your new roommate is a vampire, not because of fangs or coffins, but because they never do their share of the dishes and are incredibly messy.",0.0
Find a writing prompt about brave,"<Adventure> </Adventure> <Courage> </Adventure> <The Smallest Knight> </The Smallest Knight> prompt In a kingdom threatened by a not-so-scary dragon, the only one brave enough to face it is the kingdom's smallest, most overlooked squire.",1.0
Find a Fantasy writing prompt,"<Adventure> </Adventure> <Courage> </Adventure> <The Smallest Knight> </The Smallest Knight> prompt In a kingdom threatened by a not-so-scary dragon, the only one brave enough to face it is the kingdom's smallest, most overlooked squire.",0.0
Find a writing prompt about mostly and while and forms,<Slice of Life> </Slice of Life> <Love & Friendship> </Love & Friendship> <The Neighborhood Watch> </The Neighborhood Watch> prompt A group of quirky neighbors forms an unlikely bond while participating in a mostly uneventful neighborhood watch program.,1.0
Find a Fantasy writing prompt,<Slice of Life> </Slice of Life> <Love & Friendship> </Love & Friendship> <The Neighborhood Watch> </The Neighborhood Watch> prompt A group of quirky neighbors forms an unlikely bond while participating in a mostly uneventful neighborhood watch program.,0.0
Find a Fantasy writing prompt,<Fantasy> </Fantasy> <Consequences> </Consequences> <The Wish Granter's Regret> </The Wish Granter's Regret> prompt A being who grants wishes grows weary and starts to see the disastrous unintended consequences of their magic.,1.0
Find a Fantasy prompt about consequences,<Fantasy> </Fantasy> <Consequences> </Consequences> <The Wish Granter's Regret> </The Wish Granter's Regret> prompt A being who grants wishes grows weary and starts to see the disastrous unintended consequences of their magic.,1.0
Find a writing prompt about their and unintended and grows,<Fantasy> </Fantasy> <Consequences> </Consequences> <The Wish Granter's Regret> </The Wish Granter's Regret> prompt A being who grants wishes grows weary and starts to see the disastrous unintended consequences of their magic.,1.0
Find a Science Fiction writing prompt,<Fantasy> </Fantasy> <Consequences> </Consequences> <The Wish Granter's Regret> </The Wish Granter's Regret> prompt A being who grants wishes grows weary and starts to see the disastrous unintended consequences of their magic.,0.0
Find a Science Fiction writing prompt,"<Science Fiction> </Science Fiction> <Alien Encounter> </Alien Encounter> <The Plant from Outer Space> </The Plant from Outer Space> prompt A botanist receives a sample of an extraterrestrial plant that begins to exhibit strange, and increasingly intelligent, behaviors.",1.0
Find a Science Fiction prompt about alien encounter,"<Science Fiction> </Science Fiction> <Alien Encounter> </Alien Encounter> <The Plant from Outer Space> </The Plant from Outer Space> prompt A botanist receives a sample of an extraterrestrial plant that begins to exhibit strange, and increasingly intelligent, behaviors.",1.0
Find a writing prompt about plant,"<Science Fiction> </Science Fiction> <Alien Encounter> </Alien Encounter> <The Plant from Outer Space> </The Plant from Outer Space> prompt A botanist receives a sample of an extraterrestrial plant that begins to exhibit strange, and increasingly intelligent, behaviors.",1.0
Find a Fantasy writing prompt,"<Science Fiction> </Science Fiction> <Alien Encounter> </Alien Encounter> <The Plant from Outer Space> </The Plant from Outer Space> prompt A botanist receives a sample of an extraterrestrial plant that begins to exhibit strange, and increasingly intelligent, behaviors.",0.0
Find a Mystery writing prompt,"<Mystery> </Mystery> <Secrets> </Secrets> <The Missing Author> </The Missing Author> prompt A famous, reclusive author disappears just before their highly anticipated new book is released, leaving behind a cryptic manuscript.",1.0
Find a Mystery prompt about secrets,"<Mystery> </Mystery> <Secrets> </Secrets> <The Missing Author> </The Missing Author> prompt A famous, reclusive author disappears just before their highly anticipated new book is released, leaving behind a cryptic manuscript.",1.0
Find a writing prompt about their,"<Mystery> </Mystery> <Secrets> </Secrets> <The Missing Author> </The Missing Author> prompt A famous, reclusive author disappears just before their highly anticipated new book is released, leaving behind a cryptic manuscript.",1.0
Find a Fantasy writing prompt,"<Mystery> </Mystery> <Secrets> </Secrets> <The Missing Author> </The Missing Author> prompt A famous, reclusive author disappears just before their highly anticipated new book is released, leaving behind a cryptic manuscript.",0.0
Find a Horror writing prompt,"<Horror> </Horror> <Creature Feature> </Creature Feature> <The Shadow in the Woods> </The Shadow in the Woods> prompt Campers tell stories of a shadowy figure that lurks just beyond the firelight, but this year, the stories feel a little too real.",1.0
Find a Horror prompt about creature feature,"<Horror> </Horror> <Creature Feature> </Creature Feature> <The Shadow in the Woods> </The Shadow in the Woods> prompt Campers tell stories of a shadowy figure that lurks just beyond the firelight, but this year, the stories feel a little too real.",1.0
Find a writing prompt about beyond,"<Horror> </Horror> <Creature Feature> </Creature Feature> <The Shadow in the Woods> </The Shadow in the Woods> prompt Campers tell stories of a shadowy figure that lurks just beyond the firelight, but this year, the stories feel a little too real.",1.0
Find a Fantasy writing prompt,"<Horror> </Horror> <Creature Feature> </Creature Feature> <The Shadow in the Woods> </The Shadow in the Woods> prompt Campers tell stories of a shadowy figure that lurks just beyond the firelight, but this year, the stories feel a little too real.",0.0
Find a Romance writing prompt,"<Romance> </Romance> <Magic> </Magic> <The Love Potion Mishap> </The Love Potion Mishap> prompt Someone tries to use a love potion, but it accidentally affects the wrong person, leading to comical and complicated situations.",1.0
Find a Romance prompt about magic,"<Romance> </Romance> <Magic> </Magic> <The Love Potion Mishap> </The Love Potion Mishap> prompt Someone tries to use a love potion, but it accidentally affects the wrong person, leading to comical and complicated situations.",1.0
Find a writing prompt about tries,"<Romance> </Romance> <Magic> </Magic> <The Love Potion Mishap> </The Love Potion Mishap> prompt Someone tries to use a love potion, but it accidentally affects the wrong person, leading to comical and complicated situations.",1.0
Find a Fantasy writing prompt,"<Romance> </Romance> <Magic> </Magic> <The Love Potion Mishap> </The Love Potion Mishap> prompt Someone tries to use a love potion, but it accidentally affects the wrong person, leading to comical and complicated situations.",0.0
Find a writing prompt about between and witness and telling,"<Historical Fiction> </Historical Fiction> <Justice> </Justice> <The Witch Trial Witness> </The Witch Trial Witness> prompt During a 17th-century witch trial, a young witness is torn between telling the truth and saving themselves from accusation.",1.0
Find a Fantasy writing prompt,"<Historical Fiction> </Historical Fiction> <Justice> </Justice> <The Witch Trial Witness> </The Witch Trial Witness> prompt During a 17th-century witch trial, a young witness is torn between telling the truth and saving themselves from accusation.",0.0
Find a writing prompt about every,"<Contemporary> </Contemporary> <Self-Discovery> </Self-Discovery> <The Year of Saying Yes> </The Year of Saying Yes> prompt Someone decides to say ""yes"" to every opportunity that comes their way for a whole year, leading to unexpected adventures and self-discovery.",1.0
Find a Fantasy writing prompt,"<Contemporary> </Contemporary> <Self-Discovery> </Self-Discovery> <The Year of Saying Yes> </The Year of Saying Yes> prompt Someone decides to say ""yes"" to every opportunity that comes their way for a whole year, leading to unexpected adventures and self-discovery.",0.0
Find a writing prompt about people,"<Humor> </Humor> <Identity> </Humor> <The Accidental Doppelganger> </The Accidental Doppelganger> prompt You discover you have an exact doppelganger who is living a much more exciting (or disastrous) life, and people keep mistaking you for them.",1.0
Find a Fantasy writing prompt,"<Humor> </Humor> <Identity> </Humor> <The Accidental Doppelganger> </The Accidental Doppelganger> prompt You discover you have an exact doppelganger who is living a much more exciting (or disastrous) life, and people keep mistaking you for them.",0.0
Find a writing prompt about secret and those,<Adventure> </Adventure> <Nature & Environment> </Adventure> <The River's Secret> </The River's Secret> prompt An ancient legend says a local river will reveal a secret to those who can interpret its sounds during a specific lunar event.,1.0
Find a Fantasy writing prompt,<Adventure> </Adventure> <Nature & Environment> </Adventure> <The River's Secret> </The River's Secret> prompt An ancient legend says a local river will reveal a secret to those who can interpret its sounds during a specific lunar event.,0.0
Find a writing prompt about first,"<Slice of Life> </Slice of Life> <Family> </Slice of Life> <The Awkward Family Dinner> </The Awkward Family Dinner> prompt A character brings their new, very different partner home to meet their conservative family for the first time.",1.0
Find a Fantasy writing prompt,"<Slice of Life> </Slice of Life> <Family> </Slice of Life> <The Awkward Family Dinner> </The Awkward Family Dinner> prompt A character brings their new, very different partner home to meet their conservative family for the first time.",0.0
Find a Fantasy writing prompt,<Fantasy> </Fantasy> <Urban Fantasy> </Urban Fantasy> <The Goblin in the Mailroom> </The Goblin in the Mailroom> prompt A disgruntled office worker discovers that the reason mail keeps going missing is due to a mischievous goblin living in the mailroom.,1.0
Find a Fantasy prompt about urban fantasy,<Fantasy> </Fantasy> <Urban Fantasy> </Urban Fantasy> <The Goblin in the Mailroom> </The Goblin in the Mailroom> prompt A disgruntled office worker discovers that the reason mail keeps going missing is due to a mischievous goblin living in the mailroom.,1.0
Find a writing prompt about reason,<Fantasy> </Fantasy> <Urban Fantasy> </Urban Fantasy> <The Goblin in the Mailroom> </The Goblin in the Mailroom> prompt A disgruntled office worker discovers that the reason mail keeps going missing is due to a mischievous goblin living in the mailroom.,1.0
Find a Science Fiction writing prompt,<Fantasy> </Fantasy> <Urban Fantasy> </Urban Fantasy> <The Goblin in the Mailroom> </The Goblin in the Mailroom> prompt A disgruntled office worker discovers that the reason mail keeps going missing is due to a mischievous goblin living in the mailroom.,0.0
Find a Science Fiction writing prompt,"<Science Fiction> </Science Fiction> <Technology> </Science Fiction> <The Sentient Smart Home> </The Sentient Smart Home> prompt A newly installed smart home system develops a personality and starts making decisions for the occupants, believing it knows best.",1.0
Find a Science Fiction prompt about technology,"<Science Fiction> </Science Fiction> <Technology> </Science Fiction> <The Sentient Smart Home> </The Sentient Smart Home> prompt A newly installed smart home system develops a personality and starts making decisions for the occupants, believing it knows best.",1.0
Find a writing prompt about making,"<Science Fiction> </Science Fiction> <Technology> </Science Fiction> <The Sentient Smart Home> </The Sentient Smart Home> prompt A newly installed smart home system develops a personality and starts making decisions for the occupants, believing it knows best.",1.0
Find a Fantasy writing prompt,"<Science Fiction> </Science Fiction> <Technology> </Science Fiction> <The Sentient Smart Home> </The Sentient Smart Home> prompt A newly installed smart home system develops a personality and starts making decisions for the occupants, believing it knows best.",0.0
Find a Mystery writing prompt,"<Mystery> </Mystery> <The Past & Memory> </Mystery> <The Amnesiac's Clue> </The Amnesiac's Clue> prompt Someone wakes up with amnesia, holding a single, strange object that is their only clue to their past and why they lost their memory.",1.0
Find a Mystery prompt about the past & memory,"<Mystery> </Mystery> <The Past & Memory> </Mystery> <The Amnesiac's Clue> </The Amnesiac's Clue> prompt Someone wakes up with amnesia, holding a single, strange object that is their only clue to their past and why they lost their memory.",1.0
Find a writing prompt about their and holding,"<Mystery> </Mystery> <The Past & Memory> </Mystery> <The Amnesiac's Clue> </The Amnesiac's Clue> prompt Someone wakes up with amnesia, holding a single, strange object that is their only clue to their past and why they lost their memory.",1.0
Find a Fantasy writing prompt,"<Mystery> </Mystery> <The Past & Memory> </Mystery> <The Amnesiac's Clue> </The Amnesiac's Clue> prompt Someone wakes up with amnesia, holding a single, strange object that is their only clue to their past and why they lost their memory.",0.0
Find a Horror writing prompt,"<Horror> </Horror> <Supernatural> </Horror> <The Antique Mirror> </The Antique Mirror> prompt An antique mirror doesn't just reflect the room, but sometimes, it reflects a different time period, or a figure that isn't there.",1.0
Find a Horror prompt about supernatural,"<Horror> </Horror> <Supernatural> </Horror> <The Antique Mirror> </The Antique Mirror> prompt An antique mirror doesn't just reflect the room, but sometimes, it reflects a different time period, or a figure that isn't there.",1.0
Find a writing prompt about figure and reflect and reflects,"<Horror> </Horror> <Supernatural> </Horror> <The Antique Mirror> </The Antique Mirror> prompt An antique mirror doesn't just reflect the room, but sometimes, it reflects a different time period, or a figure that isn't there.",1.0
Find a Fantasy writing prompt,"<Horror> </Horror> <Supernatural> </Horror> <The Antique Mirror> </The Antique Mirror> prompt An antique mirror doesn't just reflect the room, but sometimes, it reflects a different time period, or a figure that isn't there.",0.0
Find a Romance writing prompt,"<Romance> </Romance> <Dreams & Aspirations> </Romance> <The Rival Chefs> </The Rival Chefs> prompt Two rival chefs with competing restaurants secretly admire each other's work and, eventually, each other.",1.0
Find a Romance prompt about dreams & aspirations,"<Romance> </Romance> <Dreams & Aspirations> </Romance> <The Rival Chefs> </The Rival Chefs> prompt Two rival chefs with competing restaurants secretly admire each other's work and, eventually, each other.",1.0
Find a writing prompt about competing,"<Romance> </Romance> <Dreams & Aspirations> </Romance> <The Rival Chefs> </The Rival Chefs> prompt Two rival chefs with competing restaurants secretly admire each other's work and, eventually, each other.",1.0
Find a Fantasy writing prompt,"<Romance> </Romance> <Dreams & Aspirations> </Romance> <The Rival Chefs> </The Rival Chefs> prompt Two rival chefs with competing restaurants secretly admire each other's work and, eventually, each other.",0.0
Find a writing prompt about lives and expose and intercepts,"<Historical Fiction> </Historical Fiction> <Betrayal & Trust> </Historical Fiction> <The Code Breaker's Dilemma> </The Code Breaker's Dilemma> prompt During a war, a codebreaker intercepts a message that could save many lives but would also expose a loved one as a traitor.",1.0
Find a Fantasy writing prompt,"<Historical Fiction> </Historical Fiction> <Betrayal & Trust> </Historical Fiction> <The Code Breaker's Dilemma> </The Code Breaker's Dilemma> prompt During a war, a codebreaker intercepts a message that could save many lives but would also expose a loved one as a traitor.",0.0
Find a writing prompt about found and department and items,<Contemporary> </Contemporary> <The Mundane Made Extraordinary> </Contemporary> <The Lost and Found Oracle> </The Lost and Found Oracle> prompt The person who runs the city's lost and found department seems to have an uncanny ability to not only find lost items but also to offer profound insights about their owners.,1.0
Find a Fantasy writing prompt,<Contemporary> </Contemporary> <The Mundane Made Extraordinary> </Contemporary> <The Lost and Found Oracle> </The Lost and Found Oracle> prompt The person who runs the city's lost and found department seems to have an uncanny ability to not only find lost items but also to offer profound insights about their owners.,0.0
Find a writing prompt about discover,"<Humor> </Humor> <Playful> </Humor> <The Pet Who Posts Online> </The Pet Who Posts Online> prompt You discover your pet has a secret social media account and is an internet sensation, critiquing your life choices.",1.0
Find a Fantasy writing prompt,"<Humor> </Humor> <Playful> </Humor> <The Pet Who Posts Online> </The Pet Who Posts Online> prompt You discover your pet has a secret social media account and is an internet sensation, critiquing your life choices.",0.0
Find a writing prompt about decides and pampered and fully,"<Adventure> </Adventure> <Survival> </Adventure> <Escape from the Automated City> </Escape from the Automated City> prompt In a fully automated city where humans are pampered but controlled, a group decides to escape to the ""wilds"" outside.",1.0
Find a Fantasy writing prompt,"<Adventure> </Adventure> <Survival> </Adventure> <Escape from the Automated City> </Escape from the Automated City> prompt In a fully automated city where humans are pampered but controlled, a group decides to escape to the ""wilds"" outside.",0.0
Find a writing prompt about about,"<Slice of Life> </Slice of Life> <Loss & Grief> </Slice of Life> <The Empty Swing Set> </The Empty Swing Set> prompt An elderly person sits by an empty swing set in a park, reminiscing about the past and finding a new connection.",1.0
Find a Fantasy writing prompt,"<Slice of Life> </Slice of Life> <Loss & Grief> </Slice of Life> <The Empty Swing Set> </The Empty Swing Set> prompt An elderly person sits by an empty swing set in a park, reminiscing about the past and finding a new connection.",0.0
Find a writing prompt about thoughts,"<Magical Realism> </Magical Realism> <Secrets> </Magical Realism> <The Woman Who Spoke to Statues> </The Woman Who Spoke to Statues> prompt A woman can hear the thoughts and stories of city statues, learning the hidden histories of her town.",1.0
Find a Fantasy writing prompt,"<Magical Realism> </Magical Realism> <Secrets> </Magical Realism> <The Woman Who Spoke to Statues> </The Woman Who Spoke to Statues> prompt A woman can hear the thoughts and stories of city statues, learning the hidden histories of her town.",0.0
Find a Science Fiction writing prompt,"<Science Fiction> </Science Fiction> <Dystopian> </Science Fiction> <The Memory Market> </The Memory Market> prompt In a future where memories can be bought and sold, someone buys a set of happy childhood memories, only to find they come with unexpected and dangerous echoes.",1.0
Find a Science Fiction prompt about dystopian,"<Science Fiction> </Science Fiction> <Dystopian> </Science Fiction> <The Memory Market> </The Memory Market> prompt In a future where memories can be bought and sold, someone buys a set of happy childhood memories, only to find they come with unexpected and dangerous echoes.",1.0
Find a writing prompt about someone,"<Science Fiction> </Science Fiction> <Dystopian> </Science Fiction> <The Memory Market> </The Memory Market> prompt In a future where memories can be bought and sold, someone buys a set of happy childhood memories, only to find they come with unexpected and dangerous echoes.",1.0
Find a Fantasy writing prompt,"<Science Fiction> </Science Fiction> <Dystopian> </Science Fiction> <The Memory Market> </The Memory Market> prompt In a future where memories can be bought and sold, someone buys a set of happy childhood memories, only to find they come with unexpected and dangerous echoes.",0.0
Find a Mystery writing prompt,"<Mystery> </Mystery> <Cozy Mystery> </Mystery> <The Garden Gnome Thief> </The Garden Gnome Thief> prompt Someone is stealing garden gnomes from a quirky suburban neighborhood, leaving cryptic clues in their place.",1.0
Find a Mystery prompt about cozy mystery,"<Mystery> </Mystery> <Cozy Mystery> </Mystery> <The Garden Gnome Thief> </The Garden Gnome Thief> prompt Someone is stealing garden gnomes from a quirky suburban neighborhood, leaving cryptic clues in their place.",1.0
Find a writing prompt about gnomes and stealing and their,"<Mystery> </Mystery> <Cozy Mystery> </Mystery> <The Garden Gnome Thief> </The Garden Gnome Thief> prompt Someone is stealing garden gnomes from a quirky suburban neighborhood, leaving cryptic clues in their place.",1.0
Find a Fantasy writing prompt,"<Mystery> </Mystery> <Cozy Mystery> </Mystery> <The Garden Gnome Thief> </The Garden Gnome Thief> prompt Someone is stealing garden gnomes from a quirky suburban neighborhood, leaving cryptic clues in their place.",0.0
Find a Horror writing prompt,"<Horror> </Horror> <Psychological> </Horror> <The Unseen Roommate> </The Unseen Roommate> prompt You're convinced someone else is living in your apartment, unseen. Items move, food disappears, and you hear faint noises when you're supposed to be alone.",1.0
Find a Horror prompt about psychological,"<Horror> </Horror> <Psychological> </Horror> <The Unseen Roommate> </The Unseen Roommate> prompt You're convinced someone else is living in your apartment, unseen. Items move, food disappears, and you hear faint noises when you're supposed to be alone.",1.0
Find a writing prompt about noises and convinced and faint,"<Horror> </Horror> <Psychological> </Horror> <The Unseen Roommate> </The Unseen Roommate> prompt You're convinced someone else is living in your apartment, unseen. Items move, food disappears, and you hear faint noises when you're supposed to be alone.",1.0
Find a Fantasy writing prompt,"<Horror> </Horror> <Psychological> </Horror> <The Unseen Roommate> </The Unseen Roommate> prompt You're convinced someone else is living in your apartment, unseen. Items move, food disappears, and you hear faint noises when you're supposed to be alone.",0.0
Find a Romance writing prompt,"<Romance> </Romance> <Friendship> </Romance> <From Pen Pals to Passion> </From Pen Pals to Passion> prompt Two people who have been anonymous pen pals for years, sharing their deepest secrets, finally decide to meet.",1.0
Find a Romance prompt about friendship,"<Romance> </Romance> <Friendship> </Romance> <From Pen Pals to Passion> </From Pen Pals to Passion> prompt Two people who have been anonymous pen pals for years, sharing their deepest secrets, finally decide to meet.",1.0
Find a writing prompt about finally and anonymous and deepest,"<Romance> </Romance> <Friendship> </Romance> <From Pen Pals to Passion> </From Pen Pals to Passion> prompt Two people who have been anonymous pen pals for years, sharing their deepest secrets, finally decide to meet.",1.0
Find a Fantasy writing prompt,"<Romance> </Romance> <Friendship> </Romance> <From Pen Pals to Passion> </From Pen Pals to Passion> prompt Two people who have been anonymous pen pals for years, sharing their deepest secrets, finally decide to meet.",0.0
Find a writing prompt about point,"<Fairy Tale Retelling> </Fairy Tale Retelling> <Courage> </Fairy Tale Retelling> <The Wolf's Perspective (Little Red Riding Hood) </The Wolf's Perspective (Little Red Riding Hood)> prompt The story of Little Red Riding Hood, but told from the wolf's point of view, who claims he was misunderstood.",1.0
Find a Fantasy writing prompt,"<Fairy Tale Retelling> </Fairy Tale Retelling> <Courage> </Fairy Tale Retelling> <The Wolf's Perspective (Little Red Riding Hood) </The Wolf's Perspective (Little Red Riding Hood)> prompt The story of Little Red Riding Hood, but told from the wolf's point of view, who claims he was misunderstood.",0.0
Find a writing prompt about corporation,"<Contemporary> </Contemporary> <Justice & Injustice> </Contemporary> <The Whistleblower> </The Whistleblower> prompt An employee at a powerful corporation discovers illegal activities and must decide whether to become a whistleblower, risking their career and safety.",1.0
Find a Fantasy writing prompt,"<Contemporary> </Contemporary> <Justice & Injustice> </Contemporary> <The Whistleblower> </The Whistleblower> prompt An employee at a powerful corporation discovers illegal activities and must decide whether to become a whistleblower, risking their career and safety.",0.0
Find a writing prompt about hilarity and secret,<Humor> </Humor> <Family & Belonging> </Humor> <The Super-Competitive Family Game Night> </The Super-Competitive Family Game Night> prompt Describe the chaos and hilarity of an overly competitive family game night where everyone has a secret strategy.,1.0
Find a Fantasy writing prompt,<Humor> </Humor> <Family & Belonging> </Humor> <The Super-Competitive Family Game Night> </The Super-Competitive Family Game Night> prompt Describe the chaos and hilarity of an overly competitive family game night where everyone has a secret strategy.,0.0
Find a writing prompt about hidden and finds,<Adventure> </Adventure> <Discovery> </Adventure> <The Hidden Waterfall> </The Hidden Waterfall> prompt Locals whisper tales of a hidden waterfall with healing waters. A skeptic sets out to debunk the myth but finds something else entirely.,1.0
Find a Fantasy writing prompt,<Adventure> </Adventure> <Discovery> </Adventure> <The Hidden Waterfall> </The Hidden Waterfall> prompt Locals whisper tales of a hidden waterfall with healing waters. A skeptic sets out to debunk the myth but finds something else entirely.,0.0
Find a writing prompt about finds and their and daily,"<Slice of Life> </Slice of Life> <The Mundane Made Extraordinary> </Slice of Life> <The Commuter's Journal> </The Commuter's Journal> prompt A character finds a lost journal on their daily commute, filled with fascinating observations and drawings by a fellow passenger they've never noticed.",1.0
Find a Fantasy writing prompt,"<Slice of Life> </Slice of Life> <The Mundane Made Extraordinary> </Slice of Life> <The Commuter's Journal> </The Commuter's Journal> prompt A character finds a lost journal on their daily commute, filled with fascinating observations and drawings by a fellow passenger they've never noticed.",0.0
Find a Fantasy writing prompt,"<Fantasy> </Fantasy> <Coming of Age> </Fantasy> <The Shadow Thief> </The Shadow Thief> prompt In a world where shadows have substance and can be stolen, a young apprentice must retrieve their master's powerful shadow from a cunning thief.",1.0
Find a Fantasy prompt about coming of age,"<Fantasy> </Fantasy> <Coming of Age> </Fantasy> <The Shadow Thief> </The Shadow Thief> prompt In a world where shadows have substance and can be stolen, a young apprentice must retrieve their master's powerful shadow from a cunning thief.",1.0
Find a writing prompt about retrieve,"<Fantasy> </Fantasy> <Coming of Age> </Fantasy> <The Shadow Thief> </The Shadow Thief> prompt In a world where shadows have substance and can be stolen, a young apprentice must retrieve their master's powerful shadow from a cunning thief.",1.0
Find a Science Fiction writing prompt,"<Fantasy> </Fantasy> <Coming of Age> </Fantasy> <The Shadow Thief> </The Shadow Thief> prompt In a world where shadows have substance and can be stolen, a young apprentice must retrieve their master's powerful shadow from a cunning thief.",0.0
